name,region,county,metres,latitude,longitude,Matthew,Scott,Amy,Emily,More folk please...,...,...,...,
Tom a' Choinnich [Tom a' Choinich],11A: Loch Duich to Cannich,Highland,1112.7,57.299545,-5.048961,,,,,,,,,
Carn a' Choire Bhoidheach,07A: Braemar to Montrose,Aberdeenshire,1109.9,56.945773,-3.272707,,,,,,,,,
Sgurr nan Conbhairean,11B: Glen Affric to Glen Moriston,Highland,1109,57.177622,-5.095407,,,,,,,,,
Sgurr Mor ,14B: The Fannaichs,Highland,1108.9,57.700133,-5.016765,,,,,,,,,
Meall a' Bhuiridh,03C: Glen Etive to Glen Lochy,Highland,1107.9,56.612216,-4.852159,,,,,,,,,
Stob a' Choire Mheadhoin,04A: Fort William to Loch Treig & Loch Leven,Highland,1105,56.823684,-4.760199,,,,,,,,,
Beinn Ghlas,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross,1103.4,56.535996,-4.236992,,,,,,,,,
Beinn Eibhinn,04B: Loch Treig to Loch Ericht,Highland,1103.3,56.825255,-4.542077,,,,,,,,,
Mullach Fraoch-choire,11B: Glen Affric to Glen Moriston,Highland,1100.9,57.205388,-5.155637,2023,,2022,,,,,,
Creise,03C: Glen Etive to Glen Lochy,Highland,1099.8,56.614448,-4.871987,,,,,,,,,
Sgurr a' Mhaim,04A: Fort William to Loch Treig & Loch Leven,Highland,1099,56.75592,-5.00369,,,,,,,,,
Sgurr Choinnich Mor,04A: Fort William to Loch Treig & Loch Leven,Highland,1094,56.800439,-4.90396,,,,,,,,,
Sgurr nan Clach Geala,14B: The Fannaichs,Highland,1093,57.696278,-5.048237,,,,,,,,,
Bynack More,08A: Cairngorms,Highland,1090,57.13822,-3.584733,,,,,,,,,
Stob Ghabhar,03C: Glen Etive to Glen Lochy,Argyll and Bute/Highland,1089.2,56.568103,-4.882099,,,,,,,,,
Beinn a' Chlachair,04B: Loch Treig to Loch Ericht,Highland,1087.8,56.869534,-4.509668,,,,,,,,,
Beinn Dearg (Ullapool),15A: Loch Broom to Strath Oykel,Highland,1084,57.78635,-4.929557,,,2019,,,,,,
Sgurr a' Choire Ghlais,12A: Kyle of Lochalsh to Garve,Highland,1083.7,57.444289,-4.90374,,,,,,,,,
Schiehallion,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,1083.3,56.666942,-4.10023,2024,2025,,,,,,,
